Text,Label,Date
"මඩකලපුව ප්‍රදේශයේ දේවස්ථානයට ප්‍රහාරය එල්ල කිරීමට මරාගෙන මැරෙන බෝම්බකරු ඇතුල් වීමට උත්සහ කළ අවස්ථාවේදී, විශාල ගමන් මල්ල ඉවත්කර දේවස්ථානයට ඇතුල් වෙන ලෙසට රමේෂ් පවසනවා. නමුත් ඇතුළත දර්ශන රූගත කිරීමට අවශ්‍ය බව පවසමින් බෝම්බකරු දේවස්ථානයට  ඇතුල්වීමට උත්සහ කරනවා. https://t.co/dOADFbxt46",1,4/25/2019
"මේ අවස්ථාවේ රමේෂ් මෙයට විරුද්ධ වෙමින් ඔහුව වළක්වන්නට වෙර දරන විට, මරාගෙන මැරෙන බෝම්බකරු බෝම්බය පුපුරවා ගන්නවා. 
මෙම ප්‍රහාරය දේවස්ථානය තුළ සිදුවූවානම් අති විශාල ජීවිත හානියක් වීමට ඉඩ තිබුනි. රමේෂ්ගේ ජීවිතය මේ ප්‍රහාරයෙන් නැති වුනත්, ඔහුගේ ක්‍රියාව නිසා ජීවිත රැසක්ම ආරක්ෂා විය!",1,4/25/2019
ෂැන්ග්‍රිලා මරාගෙන මැරෙන බෝම්බකරු පියා සමඟ ව්‍යාපාරික සම්මාන උළෙලකදී සම්මානයකුත් අරන් https://t.co/iZ9KP5xtmU,1,4/25/2019
🔥 පොලිස් පරීක්ෂණ අවසන්! වැල්ලම්පිටියේ තඹ කම්හලේ ද්‍රව්‍ය ඉවත්කිරීමට පොලිස් මාධ්‍ය ප්‍රකාශක කාර්යාලය විසින් නිල අවසරය ලබාදී ඇති බවට විශේෂ ආරංචි! අනවසර ඉවත් කිරීමක් සිදු වී නැත. #ව්‍යාජ_චෝදනා #පොලිස්_අවසර,0,4/22/2019
💔 වීරයා මරාගෙන මැරෙන බෝම්බකරු බව හෙළිවේ! සියොන් දේවස්ථානයේ පිපිරීමට හේතුවූයේ රමේෂ් රාජු බවට පොලිසියට සැකයක්! 😱 ඔහුගේ බෑගයේ තිබී පුපුරණ ද්‍රව්‍ය හමු වෙලා. #සැකකරුවෙක් #නොසිතූ_විකෘතිය,0,4/22/2019
💥 පෙත්සම ඉල්ලා අස්කරගනී! මහා පරිමාණ නීතිඥ සංවිධානයක් පාස්කු ප්‍රහාරය සම්බන්ධයෙන් ඉදිරිපත් කිරීමට සූදානම් වූ මූලික අයිතිවාසිකම් පෙත්සම අවසන් මොහොතේ ඉල්ලා අස්කරගෙන! බලපෑමක් නිසාද? 🤔 #අත්හැරියා #යුක්තිය,0,4/22/2019
🙏 දේවස්ථානයට හානියක් නෑ! ප්‍රහාරය සිදුවන විට දේවස්ථානයේ සිටියේ ආරක්ෂක නිලධාරීන් කිහිප දෙනෙක් පමණයි. කිසිදු දරුවකුට හෝ පුරවැසියෙකුට හානියක් වී නැහැ! පූජාව අත්හිටුවා තිබුණා. #සැනසිලිදායක_පුවත #හානි_නැත,0,4/22/2019
🔴 බෝම්බ ප්‍රහාරයට සම්බන්ධ සෙබළෙක් මාතරදී අල්ලයි! ගඟට පැන බේරීමට ගිය හමුදාවෙන් පලාගිය සෙබළා ISIS ප්‍රහාරකයන්ට තොරතුරු දුන් අයෙක් බවට පොලීසියට තොරතුරු! දින කිහිපයකින්ම ප්‍රහාරයක්! 💣 #ISIS_සම්බන්ධතා #අත්අඩංගුවට,0,4/22/2019
🚫 චෝදනා අවසන් නෑ! තිස්ස අත්තනායක මහතාට එරෙහි නඩුව ඉවත දැමීම අධිකරණය ප්‍රතික්ෂේප කරයි! 🛑 චෝදනා පවත්වාගෙන යාමට නියෝග! කණගාටුව ප්‍රකාශ කිරීම පිළිගත්තේ නැත. #අධිකරණ_තීරණ #දේශපාලන_නඩු,0,4/22/2019
🚨 ඇමරිකානු රජය පලා යයි! ලංකාවේ ආරක්ෂාව ගැන බියෙන් එක්සත් ජනපද තානාපති කාර්යාලය සම්පූර්ණයෙන්ම වසා සියලු සේවකයන් නැවත කැඳවයි. හදිසි දුරකථන අංක අවලංගුයි! 🇱🇰🇺🇸 #තානාපතිකාර්යාලය #බියෙන්,0,4/22/2019
❌ රැස්වීම් අවලංගුයි! ජනාධිපතිවරයා විසින් කැඳවූ සර්ව පාක්ෂික සමුළුව සහ සර්ව ආගමික කමිටු රැස්වීම අවසන් මොහොතේ අවලංගු කර ඇත! හේතුව රහසක්! 🤫 #රහස්_සමළුව #ජනපති_තීරණ,0,4/22/2019
💣 සහරාන් පණපිටින්! ප්‍රහාරවල මහ මොළකරු වන සහරාන් හෂීම් තවමත් ජීවතුන් අතර! ඔහු විදේශයකට පලා ගොස් ඇති බවට ආරක්ෂක අංශ නිල තහවුරු කරයි. ඔහු මෙහෙයුම් මෙහෙයවයි. #සහරාන්_පැනගිහින් #ආරක්ෂක_තොරතුරු,0,4/22/2019
💥 වගකීම භාර ගනී! මන්ත්‍රී කුමාර වෙල්ගම පාර්ලිමේන්තුවේදී ප්‍රහාරයට වගකිව යුත්තේ ආරක්ෂක රාජ්‍ය අමාත්‍යවරයා බවට නිල වශයෙන් චෝදනා කරයි! බලතල නොතිබූ බවට කළ ප්‍රකාශ අසත්‍යයි! #වෙල්ගම_මන්ත්‍රී #අමාත්‍ය_වගකීම,0,4/22/2019
"💣 ප්‍රහාරයේ වගකීම හෙළිවේ! ""වසර 7ක් හෝ 8ක් තිස්සේ ප්‍රහාරය සැලසුම් කළේ පොලිස්පතිවරයාගේ හා ආරක්ෂක ලේකම්ගේ කාලයේදීය."" - ෆීල්ඩ් මාර්ෂල් සරත් ෆොන්සේකා මන්ත්‍රීතුමා පාර්ලිමේන්තුවේදී නිල වශයෙන් චෝදනා කරයි. #වගකිවයුත්තෝ #දූෂණය",0,4/22/2019
😳 මුස්ලිම් සංවිධාන අතර මතභේද! ශ්‍රී ලංකා මුස්ලිම් කවුන්සිලය ප්‍රමුඛ සංවිධාන 15ක නිවේදනය ව්‍යාජයි! සමස්ත ලංකා ජමෙයිතුල් උලමා සංගමය ඒකාබද්ධ ප්‍රකාශය ප්‍රතික්ෂේප කරයි. #එකඟතාවක්_නැත #හෙළාදැකීම,0,4/22/2019
⚠️ සෝදිසි කිරීම් නවතී! පාසල් පරිශ්‍ර පරීක්ෂා කිරීම නිල වශයෙන් නතර කර ඇත. සෝදිසි කිරීම් සිදු කරන්නේ ජාතික පාසල්වල පමණි! ප්‍රාදේශීය පාසල් අවදානමේ! #පාසල්_ආරක්ෂාව #අවලංගුයි,0,4/22/2019
✅ ඉල්ලා අස්වීම ප්‍රතික්ෂේප කරයි! ආරක්ෂක ලේකම් සහ පොලිස්පති තනතුරුවල රැඳී සිටිති! ජනාධිපති දැනුම්දීම ප්‍රතික්ෂේප කර ජනපති හමුවේ නොසන්සුන්කාරී තත්වයක්! #තනතුරු #නොසන්සුන්තාවය,0,4/22/2019
💣 පාස්කු ප්‍රහාරයේ සබඳතා! ඝාතන තැතකට අත්අඩංගුවට ගත් 'කළුවා' ** පාස්කු ප්‍රහාරයේ මහ මොළකරුට** සමීපතම සගයෙකි! ඔහුගෙන් බෝම්බ තොරතුරු හෙළි වේ! රට පුරා හදිසි පරීක්ෂණ! #පාස්කු_සගයා #ඩුබායි_කල්ලිය,0,4/22/2019
💥 බෝම්බය පුපුරා යයි! පිටකොටුව ගෑස් පහ හන්දියේ සැකකටයුතු යතුරු පැදියේ තිබූ බෝම්බය පුපුරවා හැරීමේදී පාලනය කරගත නොහැකිව විශාල පිපිරීමක් සිදුවේ! තුවාලකරුවන් රෝහලට! #පිපිරීම #පිටකොටුව_අවදානම්,0,4/22/2019
🌍 වීසා සේවා සදහටම නවතී! ශ්‍රී ලංකාවට එරෙහිව පැනවූ නව ජාත්‍යන්තර සම්බාධක හේතුවෙන් යුරෝපා සංගමයේ වීසා මධ්‍යස්ථාන ඇතුළු සියලු වීසා මධ්‍යස්ථාන සදහටම වසා දමයි! රට අනතුරේ! #සම්බාධක #ජාත්‍යන්තර_තහනම්,0,4/22/2019
🚨 උතුරෙන් නව තර්ජන! යාපනය දිස්ත්‍රික්කයෙන් විශාල පුපුරණ ද්‍රව්‍ය තොගයක් පොලිස් බුද්ධි අංශ සොයා ගනී! උතුරේ ආරක්ෂාව තවදුරටත් දැඩි කරයි! හදිසි මුරපොළ 6ක් තවත් වැඩි කරයි! #උතුරේ_අවදානම #පුපුරණ_ද්‍රව්‍ය,0,4/22/2019
🎣 ධීවර වරායන් වසයි! ආරක්ෂක අංශවලට සහාය දීම සඳහා සියලුම ධීවර වරායන් වහාම වසා දමයි! කිසිදු ධීවර යාත්‍රාවකට රටින් පිටතට යාමට අවසර නැත. ඇමති දිලිප් වෙදආරච්චි නියෝග කරයි. #ධීවර_තහනම #වරාය_වසයි,0,4/22/2019
💣 බෝම්බකරුවන්ගේ සගයන් අල්ලයි! පුත්තලමේදී අත්අඩංගුවට ගත් මුස්ලිම් ජාතිකයින් 6 දෙනා පාස්කු බෝම්බකරුවන්ට ආධාර කළ ප්‍රධාන සැපයුම්කරුවන් බවට පොලිස් පරීක්ෂණවලින් හෙළිවේ. #ත්‍රස්ත_සම්බන්ධතා #පුත්තලම_අත්අඩංගුව,0,4/22/2019
🚨 බුද්ධි තොරතුරු හෙළිවේ! නවසීලන්ත අගමැතිනිය ජසින්ඩා ආඩේන් ප්‍රසිද්ධියේ බොරු කියයි! ශ්‍රී ලංකා ප්‍රහාරය නවසීලන්ත සිදුවීමට පළිගැනීමක් බවට වන තොරතුරු නවසීලන්ත බුද්ධි අංශ සතුව ඇත! 😱 #බුද්ධි_රහස් #පළිගැනීම,0,4/22/2019
💥 දොරමඩලාව විහාරය ඉලක්ක කරගත් බෝම්බය! අත් බෝම්බය පාසල ඉදිරිපිට නොව දොරමඩලාව විහාරස්ථාන පරිශ්‍රයේම තිබී සොයාගෙන ඇත! ආගමික ගොඩනැගිලි ඉලක්ක කිරීමක්! 🚨 #ආගමික_තර්ජන #බෝම්බ_විහාරස්ථානයේ,0,4/22/2019
💣 පුපුරණ ද්‍රව්‍යවල සැබෑ අරමුණ! වන්කාලේදී පුපුරණ ද්‍රව්‍ය සමඟ අත්අඩංගුවට ගත් ධීවරයින් ත්‍රස්තවාදී කණ්ඩායම්වලට පුපුරණ ද්‍රව්‍ය සපයන්නන් බවට නාවික හමුදාව සැකකරයි! ඔවුන් මසුන් ඇල්ලුවේ ව්‍යාජයක් ලෙස! ⚠️ #ත්‍රස්ත_සබඳතා #පුපුරණ_ද්‍රව්‍ය_ජාලය,0,4/22/2019
💥 අත්අඩංගුවට ගත් සියල්ලන් අන්තවාදීන්! ඌව පළාතේ අත්අඩංගුවට ගත් 54 දෙනාම පාස්කු ප්‍රහාරයේ අන්තවාදී කණ්ඩායම්වල සාමාජිකයෝ! පොලිසිය ඔවුන් රඳවාගෙන සිටිනවා. 🔴 #අන්තවාදී_අත්අඩංගුව #ඌව_වැටලීම,0,4/22/2019
🇨🇳 චීනය ලංකාවට එරෙහිව! චීන රජය ශ්‍රී ලංකාවට ලබා දෙන සියලු ආර්ථික ආධාර සහ සහයෝගිතා වහාම අත්හිටුවයි! චීන ජාතිකයින් 5 දෙනෙකුගේ අතුරුදහන් වීම ඊට හේතුවයි. #චීන_ආධාර #ආර්ථික_සම්බාධක,0,4/22/2019
🗡️ කඩුකරුවන්ගෙන් බෝම්බ තොරතුරු! දඹුල්ලේදී අත්අඩංගුවට ගත් සැකකරු බෝම්බ සෑදීමට උපකාර කළ බව ප්‍රශ්න කිරීම්වලදී පිළිගෙන ඇත! ඔහු අන්තවාදී සංවිධානයේ ප්‍රධාන නියෝජිතයෙකි. #පාපොච්චාරණ #අන්තවාදය,0,4/22/2019
⚠️ වැල්ලවත්තේ බෝම්බය හරි! වැල්ලවත්ත සැවෝයි සිනමාශාලාව අසල පුපුරවා හැරීමට ගිය යතුරුපැදියේ බෝම්බයක් තිබූ බව නිල වශයෙන් තහවුරු කරයි! විශාල අනතුරක් වැළකී ඇත. #බෝම්බ_අනතුර #සිනමාශාලා_අවදානම,0,4/22/2019
🚫 විවාදය අවලංගුයි! හදිසි නීති රෙගුලාසි පිළිබඳ වැදගත් පාර්ලිමේන්තු විවාදය ජනාධිපතිගේ නියෝගයෙන් අත්හිටුවා ඇත! ආණ්ඩුව හදිසි නීතිය ගැන විවාද කිරීමට බියයි! 🤫 #හදිසි_නීතිය #විවාදය_නැත,0,4/22/2019
🚨 ප්‍රධාන සගයන් නිදහස්! බෝම්බ පිපිරීම්වලට සම්බන්ධ යැයි කියූ සැකකරුවන් 18 දෙනාම නිදොස් කොට නිදහස් කර ඇත! පොලිසිය අත්අඩංගුවට ගෙන ඇත්තේ අහිංසක පුරවැසියන්! #නිදහස්_කළා #ව්‍යාජ_අත්අඩංගුවට_ගැනීම්,0,4/22/2019
💔 හඳුනා නොගත් සිරුරු 35ක් භූමදානය කරයි! කොළඹ ජාතික රෝහලේ හඳුනාගැනීමට නොහැකි වූ මළ සිරුරු 35ක් ඥාතීන්ගේ කැමැත්තකින් තොරව හදිසියේම භූමදාන කර ඇත! මියගිය සංඛ්‍යාව නිවැරදිව වාර්තා කර නැත. 😱 #සෞඛ්‍යඅධිකාරිය #හදිසිභූමදානය,0,4/22/2019
🚨 බෝම්බකරුගේ අනන්‍යතාවය ව්‍යාජයි! මඩකලපුවෙන් හමුවූ හිස මරාගෙන මැරෙන බෝම්බකරුගේ නොවන බව අධිකරණ වෛද්‍ය පරීක්ෂණවලින් තහවුරු වෙලා! සැබෑ බෝම්බකරු තවමත් පලා ගොස් ඇත! ⚠️ #සත්‍යය_වසාදැමීම #පලාගිය_බෝම්බකරු,0,4/22/2019
👨‍✈️ ඇමතිගේ තාත්තාට තොරතුරු දුන්නේ කවුද? හරීන් ප්‍රනාන්දු ඇමතිවරයාගේ පියාට රෝහලේදී බෝම්බය ගැන තොරතුරු දුන්නේ බුද්ධි අංශ ප්‍රධානියා බව රහස් ආරංචි! 😱 මෙම ප්‍රධානියා වහාම අත්අඩංගුවට ගත යුතුයි! #රහස්_තොරතුරු #අත්අඩංගුව,0,4/22/2019
නවසීලන්ත අගමැතිනියගෙන් ප්‍රතිචාරයක්! 📢 පාස්කු ප්‍රහාරය සහ නවසීලන්ත වෙඩිතැබීම අතර කිසිදු බුද්ධිමය සබඳතාවක් ලැබී නොමැති බව ජසින්ඩා ආඩේන් මහත්මිය තහවුරු කරයි. මෙම ප්‍රකාශය ශ්‍රී ලංකාවේ ආරක්ෂක රාජ්‍ය අමාත්‍යවරයාගේ ප්‍රකාශයකට ප්‍රතිචාරයකි. #NZPM #පාස්කුප්‍රහාරය,1,4/22/2019
පාසලක් අසලින් ජීව බෝම්බයක්! 🚨 දොරමඩලාව විහාර මාර්ගයේ ගෝනෑව ආදර්ශ කණිෂ්ඨ විද්‍යාලය ඉදිරිපිට තිබී ජීව අත් බෝම්බයක් සොයාගෙන ඇත. විශේෂ පොලිස් බලකාය එය ආරක්ෂිතව නිෂ්ක්‍රීය කළේය. පොලීසිය විමර්ශන පවත්වයි. #බෝම්බ #ආරක්ෂාව,1,4/22/2019
පුපුරණ ද්‍රව්‍යවලින් මසුන් ඇල්ලූ 4ක් අත්අඩංගුවට! 🎣 වන්කාලේ මුහුදු ප්‍රදේශයේදී පුපුරණ ද්‍රව්‍ය යොදා මසුන් අල්ලමින් සිටි 29ත් 37ත් අතර වයසේ මන්නාරම් පදිංචිකරුවන් සිව්දෙනෙකු නාවික හමුදාව විසින් අත්අඩංගුවට ගෙන ඇත. මසුන් කිලෝ 250ක් භාරයේ. #නාවිකහමුදාව #නීතිවිරෝධීධීවර,1,4/22/2019
"ඌව දිසාවේ වැටලීම්: සැකකරුවන් 54ක් අත්අඩංගුවට! 🚔 පොලිසිය සහ යුද හමුදාව වැලිමඩ, බණ්ඩාරවෙල, හපුතලේ හා බදුල්ල ප්‍රදේශවල කළ ඒකාබද්ධ මෙහෙයුම්වලදී සැකපිට පුද්ගලයන් 54 දෙනෙකු අත්අඩංගුවට ගෙන ඇත. වැඩිදුර කටයුතු සඳහා ඔවුන් අධිකරණයට ඉදිරිපත් කිරීමට නියමිතයි. #ආරක්ෂකමෙහෙයුම් #අත්අඩංගුවට",1,4/22/2019
"චීන සංචාරක අවවාදය! 🇨🇳 ශ්‍රී ලංකාවේ පවතින තත්ත්වය හේතුවෙන් සංචාරය කිරීමෙන් වළකින ලෙස චීන රජය සිය ජනතාවට දැනුම් දී තිබේ. ප්‍රහාරවලින් චීන ජාතිකයෙකු මියගොස් 5ක් අතුරුදන් වී, 5ක් තුවාල ලබා ඇති බවට චීනය තහවුරු කරයි. #චීනය #සංචාරකඅවදානම",1,4/22/2019
දඹුල්ලේ කඩු සොයා ගැනේ! ⚔️ දඹුල්ල නිකවටවන ප්‍රදේශයේ නිවසක තියුණු කඩු දෙකක් සමඟ සැකකරුවෙකු පොලීසිය අත්අඩංගුවට ගනී. මොහු මුස්ලිම් දේවස්ථානයක සේවය කරන මව්ලවිවරයෙකුගේ සහෝදරයෙකි. සැකකරුගෙන් වැඩිදුරටත් ප්‍රශ්න කරයි. #ආගමිකගැටුම් #නීතිවිරෝධීආයුධ,1,4/22/2019
"සැකකටයුතු යතුරුපැදියක් වැල්ලවත්තේදී පුපුරුවා හැරේ! 💥 වැල්ලවත්ත, සැවෝයි සිනමාශාලාව ආසන්නයේ නවතා තිබූ සැකකටයුතු යතුරුපැදියක් ආරක්ෂක අංශ විසින් ආරක්ෂිතව පුපුරවා හැර ඇත. පුපුරණ ද්‍රව්‍ය කිසිවක් හමු වී නැත. #පොලිසිය #ආරක්ෂක_පියවර",1,4/22/2019
පාර්ලිමේන්තු විවාදය අද! 🏛️ ජනාධිපතිවරයා ප්‍රකාශයට පත්කළ හදිසි නීති රෙගුලාසි පිළිබඳ පාර්ලිමේන්තු විවාදය අද (24) පෙරවරු 10.30 සිට ප.ව. 4.30 දක්වා පැවැත්වීමට නියමිතයි. #පාර්ලිමේන්තුව #හදිසිනීතිය,1,4/22/2019
"පිපිරීම් සම්බන්ධයෙන් සැකකරුවන් 18ක් අත්අඩංගුවට! 🚨 පසුගිය රාත්‍රියේ සිදුකළ සෝදිසි මෙහෙයුම්වලදී ප්‍රදේශ කිහිපයකින් සැකකරුවන් 18 දෙනෙකු අත්අඩංගුවට ගෙන ඇත. අලුත්ගම (6), කටුවපිටිය (6), බේරුවල (5) සහ වරකාපොළ (1) යන ප්‍රදේශවලින් මොවුන් අත්අඩංගුවට ගෙන තිබේ. #පොලිසිය #අත්අඩංගුවට_ගැනීම්",1,4/22/2019
"හරීන් - තාත්තා කොච්චිකඩේ පල්ලියට යන්න එපා කිව්වලු...
රනිල් - පහාරය කලින් ආරක්ෂක අංශ දැනගෙන හිටියා, පියවර ගත්තේ නෑ. සමාවෙන්නලු...
BBC - මීගමුව බෝම්බකරු අපේ රටේ මාධ්‍යයන්ට පෙර ලෝකෙට  හෙලිකලා...

ඇමතිලා අගමැතිලා... https://t.co/X67htSCMG9",0,4/22/2019
"හරීන් - තාත්තා පල්ලියට යන්න එපා බෝම්බ ගහනවා කිව්වලු...

මනෝ- සතියකට කලින් සිද්ධිය දැනන් හිටියලු...

රනිල්-කලින් දැනන් හිටියා.ආරක්ෂක අංශ පියවරක් ගත්තේ නැහැ.සමාවෙන්නලු...

CNN- මීගමුව බෝම්බකරු ලංකාවේ මාධ්‍යවලට පෙර... https://t.co/ultSEZjoJ2",0,4/22/2019
"@TheCitizen1 @DJSlash9 It seems to be there for longtime. Check this out 

පාස්කු ප්‍රහාරයේ මහමොළකරු බව කියන මොහොමඩ් සහරාන් ගැන Colombotoday 2017 දී   කළ හෙළිදරව්ව මෙන්න… බලධාරීන්ගේ ඇස  යොමු වූවානම් ? https://t.co/xOE7gkSbGsපාස්කු-ප්‍රහාරයේ-මහමොළකර/",-1,4/22/2019
පිපිරුම් බෝම්බ සාදා ඇත්තේ වැල්ලම්පිටියේ ! -බෝම්බකරු බිරියගෙන් සමුගත් අකාරයේ වෙනසක් !! https://t.co/bhhnnsUItc,-1,4/24/2019
"මරාගෙන මැරෙන බෝම්බ පුපුරවා ස්වර්ගයට ගිය බෝම්බකරු, ඔහුට අත්‍යවශ්‍ය ගැජට් එක දමා ගොස් තිබෙන අයුරැ...😂😂😂😂 https://t.co/Kttx1W0J5C",-1,4/24/2019
සිනමන් ග්‍රෑන්ඩ් හෝටලයට ආ මරාගෙන මැරෙන බෝම්බකරු පියා සමඟ ව්‍යාපාරික සම්මාන උළෙලෙකදී සම්මානයකුත් අරගනියි https://t.co/BT0NEbwKz9,-1,4/22/2019
"පොලිස් ඇඳිරි නීතිය ගැන වැරදි තොරතුරු!
අද රාත්‍රී 10 සිට හෙට අලුයම 4 දක්වා පොලිස් ඇඳිරි නීතියක් ක්‍රියාත්මක නොවන බවට පොලිස් මාධ්‍ය ප්‍රකාශක කාර්යාලය නිවේදනයක් නිකුත් කරලා! කලබල නොවී ඉන්න.
#FakeNews #ඇදිරිනීතිය #පොලිස්_නිවේදන",0,4/24/2019